Index,Item Name,Quantity,Unit
1,Rice White Platinum,30,kg
2,Kheer Rice (Gobinda Bhog),2,kg
3,Maida,12.5,kg
4,Araroot Powder,9,kg
5,Kala Namak,500,g
6,Bhaskar Laban (Salt),60,g
7,Sugar,50.5,kg
8,Teel (Rasi),200,g
9,Jaitri,15,g
10,Jaiphal,5,pc
11,Gota Mircha (Whole Chili),600,g
12,Khabar Soda (Baking Soda),300,g
13,Bara Elachi (Black Cardamom),55,g
14,Hing,150,g
15,Pan Mouri (Fennel),150,g
16,China Salt,20,Rs
17,Moong Dal,2,kg
18,Moosur Dal,2,kg
19,Amul Milk Powder,9,kg
20,Sagar Milk Powder,5,kg
21,Dalda,2.5,kg
22,Sewai (Simai),1,kg
23,Gud (Jaggery),7,kg
24,Refined Oil,54,kg
25,Butter,500,g
26,Amul Cream,2,kg
27,Khowa,3,kg
28,Vinegar,0.5,Lt
29,Papad (222 brand),3,kg
30,Food Colour (Bush brand),2,dabba
31,Disposables,0,pc
32,Amulya Dairy Milk Powder,2,kg
33,Anik Ghee,2,kg
34,Paneer Masala (MDH),300,g
35,Fish Masala,300,g
36,Agarbatti,2,pc
37,Machis (Matchbox),1,box
38,Surf (Ghadi),6,Packet
39,Coconut,4,pc
40,Rice Powder,3.5,kg
41,Tentul (Imli / Tamarind),3,kg
42,Arhar Dal,6,kg
43,Gota Sarso (Whole Mustard),1,kg
